Best,Average,Worst
1950,2337,3115
1797,2264,3210
1741,2236,3319
1714,2092,3288
1678,2104,3288
1653,2108,3288
1627,2058,3319
1579,2091,3319
1579,2009,3319
1579,2055,3319
1579,1982,3319
1579,1988,3319
1579,1911,3315
1579,1932,3331
1579,1997,3296
1573,1999,3296
1573,2056,3319
1566,1966,3337
1566,1989,3337
1566,1963,3343
1566,2067,3343
1566,2028,3343
1566,2046,3343
1566,1990,3343
1566,2053,3343
1566,2037,3343
1566,2070,3360
1566,2026,3343
1566,1916,3343
1566,1997,3385
1566,2061,3404
1566,2033,3404
1566,1958,3404
1566,1957,3421
1566,2057,3421
1566,2071,3433
1566,1998,3427
1566,2041,3421
1566,1926,3421
1566,2008,3348
1566,1937,3331
1566,1949,3421
1566,2000,3348
1566,2091,3360
1566,1997,3342
1566,2025,3360
1566,2050,3364
1566,1984,3364
1566,1965,3364
1566,1990,3370
1566,2009,3384
1566,2009,3370
1566,2047,3375
1566,2083,3379
1566,2072,3379
1566,1989,3387
1566,1999,3379
1566,1989,3382
1566,2027,3382
1566,2068,3387
1566,2030,3387
1566,2015,3387
1566,2014,3382
1566,2034,3382
1566,2009,3387
1566,2025,3455
1566,1984,3396
1566,2048,3387
1566,2107,3387
1566,2003,3387
1566,2013,3387
1566,2098,3387
1566,1934,3396
1566,1965,3396
1566,2091,3387
1566,2005,3393
1566,2099,3436
1566,2001,3436
1566,2067,3387
1566,1914,3380
1566,2040,3380
1566,2089,3380
1566,1936,3380
1566,1916,3380
1566,1867,3344
1566,2030,3380
1566,2033,3321
1566,1970,3380
1566,1970,3344
1566,1914,3431
1566,2068,3372
1566,1960,3323
1566,2089,3431
1566,2108,3416
1566,1937,3431
1566,1958,3416
1566,1996,3416
1566,2049,3416
1566,1967,3416
1566,2015,3387
1566,1973,3387
1566,1963,3387
1566,2059,3411
1566,2114,3474
1566,2009,3469
1566,1999,3469
1566,2103,3469
1566,2075,3469
1566,1994,3432
1566,2004,3474
1566,2099,3469
1566,1934,3427
1566,1974,3469
1566,1991,3469
1566,2087,3469
1566,2078,3479
1566,2025,3484
1566,2003,3484
1566,1895,3360
1566,2096,3484
1566,2057,3484
1566,2086,3484
1566,2084,3484
1566,2013,3484
1566,2143,3484
1566,2047,3484
1566,2009,3484
1566,2016,3484
1566,1984,3371
1566,1958,3484
1566,1959,3484
1566,1990,3484
1566,2002,3484
1566,2068,3484
1566,1917,3484
1566,2057,3484
1566,1998,3484
1566,2023,3484
1566,1956,3484
1566,1919,3484
1566,1968,3484
1566,2053,3484
1566,2096,3484
1566,2073,3484
1566,2103,3484
1566,2048,3484
1566,2055,3484
1566,2159,3484
1566,1937,3484
1566,2046,3484
1566,2104,3484
1566,2014,3484
1566,1975,3484
1566,2073,3484
1566,2070,3484
1566,2023,3484
1566,1985,3484
1566,2123,3494
1566,1978,3494
1566,2047,3494
1566,2110,3494
1566,2061,3501
1566,2024,3501
1566,1977,3508
1566,2087,3508
1566,2091,3508
1566,2008,3508
1566,2045,3501
1566,2069,3462
1566,1973,3505
1566,2036,3508
1566,1943,3508
1566,2065,3513
1566,2050,3508
1566,1986,3501
1566,2071,3520
1566,2021,3520
1566,2011,3433
1566,2032,3508
1566,2075,3523
1566,2100,3523
1566,2049,3523
1566,1957,3523
1566,2021,3523
1566,2006,3523
1566,2001,3523
1566,2139,3523
1566,2016,3432
1566,2018,3523
1566,2038,3523
1566,2033,3523
1566,2120,3523
1566,2025,3523
1566,2001,3523
1566,2054,3523
1566,2130,3523
1566,2044,3523
1566,2053,3523
1566,2012,3523
1566,2026,3515
1566,2012,3523
1566,2096,3504
1566,1979,3523
1566,2160,3523
1566,2082,3515
1566,2081,3523
1566,2043,3523
1566,2095,3523
1566,2051,3511
1566,2018,3511
1566,2047,3523
1566,1986,3523
1566,2130,3523
1566,2000,3523
1566,2029,3523
1566,2037,3523
1566,2006,3523
1566,2038,3523
1566,2007,3523
1566,2026,3523
1566,2010,3523
1566,2102,3523
1566,2069,3494
1566,2048,3523
1566,2046,3523
1566,2058,3523
1566,2148,3523
1566,2116,3494
1566,2047,3494
1566,2026,3494
1566,2087,3494
1566,1953,3494
1566,1997,3494
1566,2103,3494
1566,2029,3494
1566,2010,3494
1566,2032,3523
1566,2098,3523
1566,2002,3500
1566,2006,3494
1566,2071,3494
1566,2021,3494
1566,2116,3494
1566,2034,3494
1566,2042,3494
1566,2074,3494
1566,1963,3494
1566,2001,3494
1566,2058,3494
1566,2015,3494
1566,2085,3494
1566,2121,3494
1566,2017,3494
1566,2154,3494
1566,2091,3494
1566,2138,3494
1566,2069,3494
1566,2023,3494
1566,1998,3494
1566,1926,3465
1566,2011,3494
1566,1952,3494
1566,2008,3480
1566,2013,3494
1566,2077,3494
1566,2040,3494
1566,2032,3494
1566,1995,3494
1566,2127,3494
1566,1967,3494
1566,2113,3494
1566,2010,3494
1566,2076,3494
1566,2095,3515
1566,1977,3494
1566,1967,3407
1566,1969,3528
1566,2079,3528
1566,2056,3528
1566,2082,3528
1566,2133,3528
1566,2052,3528
1566,1963,3528
1566,1996,3528
1566,2087,3528
1566,2009,3528
1566,2009,3528
1566,1988,3528
1566,1980,3490
1566,2005,3516
1566,2011,3528
1566,2111,3528
1566,1989,3521
1566,2061,3528
1566,2032,3528
1566,1943,3528
1566,2039,3528
1566,2079,3528
1566,2126,3528
1566,1987,3509
1566,2028,3528
1566,2028,3528
1566,1920,3439
1566,1929,3439
1566,2035,3439
1566,1896,3439
1566,2048,3439
1566,1993,3439
1566,2096,3439
1566,2069,3439
1566,2002,3439
1566,1974,3439
1566,2022,3439
1566,1951,3439
1566,2027,3439
1566,1970,3439
1566,2014,3439
1566,2089,3439
1566,2033,3439
1566,2070,3439
1566,2020,3442
1566,1986,3442
1566,2087,3442
1566,2057,3442
1566,2027,3442
1566,2078,3442
1566,2026,3442
1566,2032,3442
1566,2027,3442
1566,1977,3442
1566,2032,3442
1566,1990,3442
1566,2060,3442
1566,1970,3442
1566,1989,3442
1566,2064,3442
1566,1971,3442
1566,1847,3442
1566,1912,3442
1566,1969,3442
1566,2133,3442
1566,2113,3442
1566,2003,3442
1566,1999,3442
1566,2041,3442
1566,1984,3442
1566,2004,3442
1566,2101,3442
1566,2079,3442
1566,2049,3442
1566,2119,3442
1566,2029,3442
1566,1989,3442
1566,1967,3442
1566,2007,3442
1566,2054,3442
1566,2117,3442
1566,2117,3442
1566,1996,3442
1566,1971,3442
1566,1989,3442
1566,2002,3517
1566,2114,3517
1566,1988,3517
1566,2082,3517
1566,2044,3517
1566,1974,3408
1566,2024,3517
1566,1967,3517
1566,2032,3517
1566,2045,3517
1566,2102,3517
1566,2055,3517
1566,2095,3517
1566,2057,3517
1566,2132,3517
1566,2047,3517
1566,2117,3517
1566,2041,3517
1566,1990,3517
1566,2049,3517
1566,2069,3517
1566,1960,3517
1566,2007,3486
1566,2033,3528
1566,2119,3528
1566,2094,3519
1566,2008,3516
1566,2013,3517
1566,1937,3256
1566,2049,3256
1566,1958,3256
1566,2046,3256
1566,2006,3376
1566,1934,3361
1566,2023,3361
1566,2057,3361
1566,2068,3361
1566,2000,3361
1566,2047,3361
1566,2003,3361
1566,1986,3361
1566,1984,3361
1566,2002,3361
1566,2006,3361
1566,1971,3361
1566,2006,3361
1566,2047,3361
1566,2020,3409
1566,2059,3409
1566,1986,3409
1566,2015,3409
1566,2008,3409
1566,2027,3409
1566,1975,3409
1566,2064,3409
1566,1978,3409
1566,2024,3409
1566,1982,3409
1566,2060,3409
1566,2045,3523
1566,1961,3523
1566,2069,3523
1566,2022,3523
1566,2072,3523
1566,2007,3523
1566,1985,3523
1566,2059,3528
1566,2061,3528
1566,2144,3528
1566,2140,3528
1566,2006,3528
1566,2070,3528
1566,2035,3528
1566,1999,3528
1566,1985,3528
1566,2004,3528
1566,2039,3528
1566,2119,3528
1566,2067,3528
1566,2062,3528
1566,1884,3528
1566,2074,3528
1566,2067,3528
1566,2044,3528
1566,2030,3528
1566,1987,3528
1566,2076,3528
1566,1973,3528
1566,2119,3528
1566,2001,3528
1566,2001,3528
1566,2066,3528
1566,2035,3528
1566,1963,3528
1566,2047,3528
1566,2159,3528
1566,2038,3528
1566,1951,3528
1566,2050,3528
1566,2061,3528
1566,1994,3528
1566,2058,3528
1566,2002,3528
1566,2087,3528
1566,2081,3528
1566,1941,3528
1566,2090,3528
1566,2061,3528
1566,2074,3528
1566,2112,3528
1566,1988,3528
1566,2091,3528
1566,2155,3528
1566,2008,3528
1566,2031,3528
1566,2086,3528
1566,1962,3366
1566,1950,3528
1566,1947,3528
1566,2021,3528
1566,2130,3528
1566,2053,3528
1566,1994,3528
1566,2039,3528
1566,2038,3528
1566,2020,3528
1566,2066,3528
1566,2055,3528
1566,2116,3528
1566,2174,3528
1566,2011,3528
1566,2100,3528
1566,2075,3528
1566,2100,3528
1566,1982,3528
1566,1950,3528
1566,1993,3528
1566,1987,3528
1566,1995,3528
1566,1999,3528
1566,2078,3528
1566,2167,3488
1566,2013,3415
1566,1978,3488
1566,1984,3488
1566,2018,3490
1566,2032,3490
1566,2089,3490
1566,2069,3490
1566,1985,3490
1566,1932,3490
1566,1950,3427
1566,1992,3427
1566,2018,3490
1566,2057,3490
1566,2121,3498
1566,2106,3498
1566,1968,3490
1566,2046,3498
1566,2053,3498
1566,2150,3498
1566,2058,3498
1566,2058,3498
1566,2144,3498
1566,1965,3498
1566,2041,3498
1566,1987,3498
1566,1952,3498
1566,1980,3498
1566,2022,3498
1566,2033,3498
1566,2121,3498
1566,1985,3498
1566,1967,3498
1566,2097,3498
1566,2022,3498
1566,2048,3498
1566,2048,3498
1566,2003,3431
1566,2036,3461
1566,2043,3431
1566,2076,3402
1566,1917,3431
1566,2018,3385
1566,2105,3385
1566,2018,3385
1566,2037,3431
1566,1993,3431
1566,2059,3431
1566,1955,3431
1566,2040,3498
1566,1984,3498
1566,2016,3431
1566,2082,3498
1566,2086,3498
1566,2055,3498
1566,1933,3498
1566,2010,3498
1566,2105,3498
1566,2061,3498
1566,2064,3498
1566,2115,3498
1566,2033,3498
1566,2012,3498
1566,2133,3498
1566,2123,3498
1566,2038,3498
1566,1976,3498
1566,2038,3498
1566,2101,3498
1566,2135,3498
1566,2030,3498
1566,2031,3498
1566,2067,3498
1566,1992,3498
1566,1988,3498
1566,2057,3498
1566,2031,3498
1566,2007,3498
1566,1989,3498
1566,1953,3498
1566,2072,3498
1566,2052,3498
1566,2077,3498
1566,2047,3498
1566,2084,3498
1566,2058,3513
1566,2030,3499
1566,1993,3504
1566,1933,3513
1566,2048,3499
1566,1986,3499
1566,2031,3513
1566,2035,3513
1566,2021,3513
1566,2073,3513
1566,2071,3513
1566,1989,3513
1566,2085,3513
1566,2018,3498
1566,1813,3498
1566,1956,3498
1566,2012,3498
1566,2109,3498
1566,2010,3498
1566,2051,3498
1566,1961,3498
1566,2053,3513
1566,1962,3510
1566,2086,3513
1566,2070,3513
1566,1928,3513
1566,2023,3513
1566,2006,3513
1566,2128,3513
1566,2149,3513
1566,2129,3513
1566,2070,3513
1566,1985,3513
1566,1989,3513
1566,2072,3513
1566,1954,3513
1566,1960,3513
1566,2113,3513
1566,1992,3513
1566,2044,3513
1566,2007,3471
1566,2052,3513
1566,2046,3513
1566,2004,3513
1566,2052,3513
1566,2032,3513
1566,2076,3513
1566,2010,3513
1566,2134,3513
1566,2059,3513
1566,2042,3513
1566,2050,3494
1566,1948,3513
1566,2138,3513
1566,2022,3513
1566,1988,3513
1566,2211,3513
1566,2056,3506
1566,2009,3380
1566,2016,3506
1566,1972,3501
1566,2020,3501
1566,2000,3414
1566,2103,3426
1566,2000,3501
1566,2034,3492
1566,2021,3446
1566,2135,3501
1566,2039,3501
1566,2019,3492
1566,1973,3492
1566,1895,3483
1566,2007,3492
1566,2084,3492
1566,2088,3492
1566,1984,3492
1566,2042,3492
1566,2115,3492
1566,2175,3492
1566,2005,3492
1566,1989,3492
1566,1984,3492
1566,2024,3492
1566,2012,3492
1566,2103,3492
1566,2016,3492
1566,1996,3492
1566,1960,3492
1566,2139,3492
1566,1984,3492
1566,2068,3492
1566,2052,3492
1566,2106,3492
1566,2026,3492
1566,2055,3492
1566,2032,3492
1566,2040,3492
1566,1997,3485
1566,1999,3492
1566,1993,3492
1566,2080,3492
1566,2054,3492
1566,1970,3497
1566,2100,3504
1566,2030,3504
1566,2052,3492
1566,2097,3504
1566,2029,3504
1566,2093,3504
1566,2071,3504
1566,2073,3504
1566,2038,3504
1566,2071,3504
1566,1941,3504
1566,2050,3328
1566,1985,3406
1566,1906,3455
1566,2009,3455
1566,1982,3455
1566,1935,3497
1566,2022,3497
1566,2008,3497
1566,2035,3497
1566,2116,3497
1566,2031,3497
1566,2095,3497
1566,2038,3504
1566,2043,3504
1566,2069,3504
1566,2072,3504
1566,2123,3504
1566,2006,3417
1566,1952,3417
1566,2080,3417
1566,1927,3464
1566,2051,3504
1566,2036,3504
1566,2061,3504
1566,1980,3504
1566,2031,3470
1566,2058,3470
1566,1929,3504
1566,2068,3504
1566,2069,3504
1566,2088,3504
1566,1953,3504
1566,2027,3470
1566,2001,3504
1566,2030,3504
1566,2021,3504
1566,1977,3504
1566,2009,3504
1566,2020,3504
1566,2100,3504
1566,2093,3504
1566,2054,3504
1566,2036,3489
1566,1950,3504
1566,1984,3504
1566,2012,3504
1566,1966,3504
1566,2008,3504
1566,1949,3504
1566,2063,3504
1566,2080,3504
1566,2095,3513
1566,2107,3513
1566,2136,3513
1566,2118,3513
1566,2016,3513
1566,1942,3513
1566,2024,3513
1566,2048,3513
1566,2083,3513
1566,2017,3513
1566,2005,3513
1566,1988,3513
1566,1972,3513
1566,2078,3513
1566,1964,3513
1566,2024,3499
1566,2045,3513
1566,1993,3499
1566,2004,3513
1566,1958,3513
1566,1961,3499
1566,1986,3499
1566,1984,3252
1566,2026,3513
1566,2091,3506
1566,1992,3396
1566,2057,3513
1566,1968,3513
1566,1984,3502
1566,1981,3502
1566,2027,3502
1566,2023,3502
1566,2090,3502
1566,2154,3502
1566,2059,3502
1566,2060,3502
1566,2043,3502
1566,1989,3502
1566,1996,3502
1566,1957,3502
1566,2084,3502
1566,2124,3502
1566,1990,3502
1566,2069,3502
1566,2022,3502
1566,2018,3502
1566,2013,3502
1566,1955,3502
1566,2015,3502
1566,1953,3513
1566,2011,3513
1566,2072,3513
1566,2071,3513
1566,2010,3513
1566,2005,3513
1566,1987,3513
1566,2006,3513
1566,1985,3513
1566,1966,3513
1566,2097,3513
1566,2097,3513
1566,1978,3377
1566,1959,3439
1566,2056,3439
1566,2061,3472
1566,2073,3439
1566,2118,3439
1566,2042,3439
1566,2098,3439
1566,2009,3439
1566,2030,3439
1566,2052,3439
1566,2050,3439
1566,2023,3439
1566,2051,3439
1566,2050,3439
1566,1998,3439
1566,2042,3439
1566,2076,3439
1566,2038,3439
1566,2073,3439
1566,2008,3439
1566,2086,3439
1566,2024,3439
1566,1917,3439
1566,1973,3396
1566,1982,3441
1566,1978,3368
1566,2030,3439
1566,2077,3439
1566,2067,3439
1566,2108,3485
1566,2046,3499
1566,2005,3499
1566,2028,3499
1566,2096,3499
1566,2085,3499
1566,2125,3499
1566,1984,3499
1566,1960,3499
1566,2085,3499
1566,2044,3499
1566,2007,3499
1566,2089,3499
1566,2036,3499
1566,2037,3499
1566,2017,3499
1566,1995,3499
1566,2105,3499
1566,2008,3499
1566,2014,3501
1566,2046,3501
1566,1955,3501
1566,2034,3501
1566,2013,3501
1566,2028,3501
1566,2009,3489
1566,1991,3490
1566,2041,3490
1566,2100,3490
1566,2030,3490
1566,2016,3490
1566,2022,3490
1566,2017,3490
1566,2023,3490
1566,2060,3493
1566,1995,3490
1566,2052,3493
1566,2115,3493
1566,2197,3493
1566,2024,3490
1566,2062,3490
1566,2053,3490
1566,1959,3490
1566,1980,3490
1566,2124,3490
1566,2089,3490
1566,2028,3490
1566,2110,3490
1566,2028,3490
1566,2043,3490
1566,2122,3490
1566,1993,3490
1566,1991,3490
1566,2065,3490
1566,1990,3461
1566,2038,3490
1566,2022,3477
1566,2039,3477
1566,1982,3488
1566,2028,3488
1566,2052,3488
1566,1975,3488
1566,2027,3490
1566,2053,3488
1566,2084,3488
1566,1999,3488
1566,2027,3488
1566,1979,3488
1566,2031,3488
1566,2040,3488
1566,2067,3488
1566,2069,3497
1566,2121,3497
1566,1979,3488
1566,1989,3437
1566,1909,3416
1566,1991,3488
1566,1959,3488
1566,2099,3488
1566,2063,3503
1566,1943,3503
1566,2077,3503
1566,2099,3503
1566,2193,3503
1566,2030,3503
1566,2075,3503
1566,2012,3511
1566,1993,3503
1566,2130,3511
1566,2002,3511
1566,1985,3435
1566,1963,3380
1566,2017,3380
1566,1952,3429
1566,1962,3503
1566,2051,3511
1566,1947,3511
1566,2002,3511
1566,2099,3511
1566,2083,3503
1566,1912,3511
1566,2033,3503
1566,2042,3511
1566,2127,3511
1566,2019,3503
1566,1986,3503
1566,2079,3503
1566,1926,3503
1566,2020,3503
1566,2028,3503
1566,1916,3503
1566,2016,3503
1566,2041,3503
1566,2063,3503
1566,2112,3503
1566,2129,3503
1566,2012,3503
1566,1900,3387
1566,2050,3503
1566,1922,3503
1566,1925,3325
1566,2008,3503
1566,2009,3503
1566,1951,3503
1566,2089,3503
1566,2060,3503
1566,1948,3503
1566,1950,3503
1566,1936,3503
1566,1986,3244
1566,1954,3503
1566,1964,3503
1566,1978,3503
1566,1906,3503
1566,2122,3503
1566,2026,3503
1566,2062,3503
1566,2067,3503
1566,2099,3503
1566,2003,3503
1566,2085,3498
1566,2038,3498
1566,2001,3498
1566,2090,3498
1566,2004,3498
1566,1970,3498
1566,2027,3503
1566,2137,3503
1566,1939,3503
1566,2044,3503
1566,1971,3503
1566,2046,3503
1566,1988,3503
1566,1968,3503
1566,2039,3503
1566,2063,3503
1566,2079,3503
